id	text1	text2
0	играть перед уже в лужок горелка скосить после по стать дом чай	после чай стать по скосить уже лужок перед дом играть в горелка
1	— крикнуть старуха на стоять в дверь	на стоять — старуха крикнуть в дверь
2	женщина миловидный женщина румяный — голубой длинный феничек обернуть ясный звать кос белый два и федосья голов детский русый совсем три товарка с шить она быть — небольшой глаз вокруг молодая как	три шить женщина быть федосья — феничек как она звать товарка — белый румяный с ясный детский голубой глаз и два длинный русый кос обернуть вокруг небольшой голов совсем молодая миловидный женщина
3	председатель быть удивлённый тем что присяжный оговорить первое условие « без умысел ограбление » не оговорить два « без намерение лишить жизнь »	не умысел что « » два лишить оговорить жизнь намерение тем условие ограбление оговорить удивлённый председатель « без » быть первое без присяжный
4	да надо тут в суд узнать где жить фанарин или микишина »	тут суд где в надо микишина фанарин » или жить узнать да
5	старик хороший пьющий — фабричный — повторить что на глядеть	— что хороший — повторить старик глядеть на пьющий фабричный
6	при вспомнить это прошедшее она и	вспомнить при это и она прошедшее
7	как и весь человек он круг и время он без маленький усилие разорвать свой умственный рост тот путы религиозный суеверие в который он быть воспитанный и сам не знать когда именно он освободиться	быть освободиться религиозный время умственный суеверие сам как человек маленький тот круг и усилие не он рост знать и путы воспитанный разорвать в он свой без он который именно он весь и когда
8	один избитый чернобородый то солдат девочка с против наручный то арестант мрачно офицер и на смотреть и стоять избитый арестант на конвойный исподлобья с рука на надеть	против избитый стоять конвойный солдат и чернобородый арестант с надеть на один рука наручный и мрачно смотреть исподлобья то на офицер то на избитый арестант с девочка
9	понимать сказать вздохнуть не — — она	— не понимать — сказать она вздохнуть
10	— ничто хорошо — сказать она	— — она хорошо ничто сказать
11	обрадоваться малое обругать сибирский же с один очевидно он встреча тотчас широкоплечий ласкательный же ругательство	один же очевидно обрадоваться встреча с широкоплечий малое тотчас же ласкательный обругать он сибирский ругательство
12	он знать теперь что надо делать для удовлетворение чувство и отыскивать средство сделать это	сделать теперь для знать и надо чувство удовлетворение делать это он что отыскивать средство
13	лицо пройти прийтись мимо трактир такой же быть видный нехлюдов открытый окно который в	такой же лицо быть видный в открытый окно трактир мимо который прийтись пройти нехлюдов
14	— — что — постараться да дожидаться благодарить тут сказать быть корчагин от	— да сказать — тут дожидаться от корчагин — что благодарить постараться быть
