id	text
0	старый запустить палаццо с высокий лепной плафон и фреска на стен с мозаичный пол с тяжёлый жёлтый штофный гардина на высокий окно ваза на консоль и камин с резной дверь и с мрачный зал увешать картина – палаццо этот после тот как они переехать в он сама свой внешность поддерживать в вронский приятный заблуждение что он не столько русский помещик егермейстер без служба сколько просвещённый любитель и покровитель искусство и сам – скромный художник отречься от свет связь честолюбие для любимый женщина
1	на угол он встретить спешить ночное извозчик
2	он стоялый держаться рука за перевязь швейцар и смотреть он в лицо
3	если разбирать она черта она несмотря на болезненный цвета лицо быть скорее красивый чем дурной
4	я считать что для я обязанность отправляться на съезд обсуждать дело мужик о лошадь так же важный как и весь что я мочь сделать
5	степан аркадьй не мочь говорить так как цирюльник занятый быть верхний губа и поднять один палец
6	васенька перейти к дама и сесть ряд с кить
7	– с досада сказать левин – это лечение для я только подобие лечение народ школа
8	– я замечать … – начало она что-то как в комната войти лакей с письмо
9	один из дать встречать доброволец выходить из зала обратиться к сергей иван
10	– что ж там нужный человек
11	он нахмуриться на слово катавасов и сказать другой – напрасно ты так ставить вопрос
12	поспешно оглянуться подойти и улыбнуться вложить в протянуть рука степан аркадьй неподвижный потный рука и тотчас же опять отойти и стать смотреть на портрет
13	– решительно исправляться батюшка приятно видеть – сказать катавас встречать левин в маленькая гостиный
14	не один сестра приятельница и родные следить за весь подробность священнодействие посторонний женщина зрительница с волнение захватывать дыхание следить бояться упустить каждый движение выражение лицо жених и невеста и с досада не отвечать и часто не слыхать речь равнодушный мужчина делать шутливый или посторонний замечание
15	– ну не быть тем более что весь знать этот ужас
16	она не простить » – подумать он
17	– ну если нынче нельзя не танцевать так пойти – сказать она не замечать поклон вронский и быстро поднять рука на плечо корсунский
18	– да кто же ты мешать
19	вы мочь затоптать я в грязь сделать посмешище свет я не покинуть она и никогда слово упрёк не сказать вы – продолжать он
20	сначала когда говориться о влияние который иметь один народ на другой левин невольно приходить в голова то что он иметь сказать по это предмет но мысль этот прежде для он очень важный как бы в сон мелькать в он голов и не иметь для он теперь ни маленький интерес
21	– здесь столько блеск что глаз разбежаться – сказать он и пойти в беседка
22	– завтракать барин – сказать старик
23	он всего это ждать весь это видеть в они лицо видеть в тот равнодушный небрежность с котора они говорить между себя смотреть на манекен и бюст и свободно прохаживаться ожидать тот чтобы он открыть картина
24	остаться опять один алексей александр понять что он не в сила более выдерживать роль твёрдость и спокойствие
25	и счастливый семьянин здоровый человек левин быть несколько раз так близкий к самоубийство что спрятать шнурок чтобы не повеситься на немой и бояться ходить с ружьё чтобы не застрелиться
26	но в тот напряжение и тот грёза который наполнять она воображение не быть ничто неприятный и мрачный напротив быть что-то радостный жгучий и возбуждать
27	а какой образ знание сложение и вычитание и катехизис помочь он улучшить свой материальный состояние я никогда не мочь понять
28	ведь это быть ужасно и для я и для нея
29	– я понимать вы и понимать лиза
30	– это не твой дело послать лакей убирать и приготовить я фрак
31	вот теперь я надо быть ехать в москва по дело дом … ах анна почему ты так раздражительный
32	я предупреждать вы о последствие в религиозный гражданский и семейный отношение
33	щербацкий и чириков поддерживать венец путаться в шлейф невеста тоже улыбаться и радоваться что-то то отставать то натыкаться на венчать при остановка священник
34	на он найти затмение от счастие
35	кить низко и грациозно присесть в свой выписать из париж очень простой то есть очень нарядный летний платье
36	лакей вернуться весь запереть – воскресение
37	признать этот лицо за русский кить уже начало в свой воображение составлять о они прекрасный и трогательный роман
38	– я не знать но если ты убедить что ты не иметь право … – я вовсе не убедить
39	– а это сестра в бел атлас
40	– и он весь так же глупый и довольный
41	как только старый князь отвернуться от он левин незаметно выйти и последний впечатление вынести имя с это вечер быть улыбаться счастливый лицо кить отвечать вронский на он вопрос о бал
42	– теперь идти вы а я побыть с лошадь – сказать он
43	– это мой искренний едва ли не хороший друг – сказать он вронский
44	в один раз в жизнь он испытать самый тяжёлый несчастие несчастие неисправимый и такой в который вина сам
45	но подойти к тёща он с грустный виноватый лицо отвечать на она вопрос о здоровье долли
46	но душенька я просто жалко жалко ты всеять душа
47	если б алексей александр позволить себя наблюдать он заметить бы робкий растерять взгляд с какой сережа взглянуть на отец а потом на мать
48	– но он не рассказать какой быть этот неприятность
49	правда когда они оба быть в хороший расположение дух радость жизнь они удвояться
50	дать вы бог успех внешний – и внутренний мир – прибавить он и протянуть рука
51	он послать за плотник который по наряду должный быть работать молотилка
52	оказаться что у егоp быть семья тpи мальчик и дочь швея котоpий он хотеть отдать замуж за пpиказчик в шоpной лавка
53	он быть приставить к приехать в петербург иностранный принц и должный быть показывать он достопримечательность петербург
54	« попробовать хотеть » – понять матвей но он сказать только – слушать-с
55	– нет он понимать он понимать
56	– стрем и лиза меркаловый – это сливка сливка общество
57	один этот они ссора произойти оттого что левин поехать на новый хутор и пробыть полчаса долее потому что хотеть проехать ближний дорогой и заблудиться
58	он быть в мучительный разлад с сам себя и напрягать весь душевный сила чтобы выйти из он
59	– разумеется это-то и оскорбительно … – нет так я напротив оставить он нарочно у мы весь лето и быть рассыпаться с он в любезность – говорить левин целовать она рука
60	– вскрикнуть левин вставать и не в сила более удерживать свой досада
61	но кроме тот как ни тяжёлый быть для матерь страх болезнь самый болезнь и горе в вид признак дурной наклонность в ребёнок – сам ребёнок выплачивать она уж теперь мелкий радость за она горесть
62	– освобождение крестьянин быть другой дело
63	это он давно знать но это не мочь быть приложимый к он случай
64	– завод … – но я всё-таки не знать что вы удивлять
65	увидать этот улыбка долли вздрогнуть как от физический боль разразиться с свойственный она горячность поток жестокий слово и выбежать из комната
66	это она манер … ну давать же братец суп … это она манер – сказать степан аркадьй
67	она весь понять и не спрашивать он так ли
68	– сказать степан аркадьй смеяться указывать на васенька весловский
69	с тот день как она выехать из италия мысль о это свидание не переставать волновать она
70	когда он быть тут ни вронский ни анна не только не позволять себя говорить о что-нибудь такой что бы они не мочь повторить при весь но они не позволять себя даже и намёк говорить то что бы мальчик не понять
71	она не хотеться теперь чтобы он говорить неправда
72	до дом ещё быть шаг двести а уже подняться ветер и всякий секунда можно быть ждать ливень
73	стараться не шуметь они войти и в тёмный читальный где под лампа с абажур сидеть один молодая человек с сердитый лицо перехватывать один журнал за другой и плешивый генерал углублённый в чтение
74	в тот несколько секунда в время который посетитель молча смотреть на картина михайлов тоже смотреть на нея и смотреть равнодушный посторонний глаз
75	« без знание тот что я такой и зачем я здесь нельзя жить
76	трава быть по пояс в середина лощина и нежный и мягкий лопушистый кое-где по леса пестреть иваном-да-марья
77	как она ни стараться она не мочь любить этот девочка а притворяться в любовь она не мочь
78	– у я и коньковый нет – отвечать левин удивляться этот смелость и развязность в она присутствие и ни на секунда не терять она из вид хотя и не глядеть на нея
79	и сын так же как и муж произвести в анне чувство похожий на разочарование
80	– отдать это мужик он не отказаться
81	ты вот презирать общественный служебный деятельность потому что ты хотеться чтобы дело постоянно соответствовать цель а это не бывать
82	левин войти в денник оглядеть пава и поднять красно-пегий телёнок на он шаткий длинный нога
83	в противный случай он готовый быть заставить говорить молчать и уважать несуществующий честь женщина который он любить
84	один раз обедать другой раз провести вечер с гость но ни раз не ночевать как он иметь обыкновение делать это в прежний год
85	– сказать она подходить к она
